algorithm,data_set,k,silhouette,purity,duration
kmeans,glass.csv,7,0.5325404599761803,0.836448598130841,3.2544379234313965
kmeans,glass.csv,7,0.5364507292423334,0.8691588785046729,7.793444871902466
kmeans,glass.csv,7,0.5364507292423337,0.8691588785046728,5.822895765304565
kmeans,glass.csv,7,0.5354452557755265,0.8271028037383177,7.742849588394165
kmeans,glass.csv,7,0.5364507292423337,0.8691588785046728,5.237455368041992
kmeans,glass.csv,7,0.5335668090493807,0.8551401869158878,1.0699851512908936
kmeans,glass.csv,7,0.5326217883277801,0.8317757009345793,2.3404765129089355
kmeans,glass.csv,7,0.5354452557755265,0.8271028037383177,6.655454635620117
kmeans,glass.csv,7,0.5364507292423335,0.8691588785046728,5.192473888397217
kmeans,glass.csv,7,0.533107568032216,0.8177570093457943,3.985300064086914
kmeans,user-knowledge.csv,5,0.1962851691484781,0.5930521091811415,3.8418209552764893
kmeans,user-knowledge.csv,5,0.20140346099038195,0.5955334987593053,2.868250846862793
kmeans,user-knowledge.csv,5,0.18737317156426905,0.5781637717121588,3.0346927642822266
kmeans,user-knowledge.csv,5,0.20107782395004734,0.6203473945409429,4.2484290599823
kmeans,user-knowledge.csv,5,0.2037598246037173,0.6079404466501241,3.835402250289917
kmeans,user-knowledge.csv,5,0.18755774077170087,0.5905707196029777,0.9919722080230713
kmeans,user-knowledge.csv,5,0.20706911095746355,0.6203473945409429,2.5594828128814697
kmeans,user-knowledge.csv,5,0.1905416039203405,0.6253101736972705,2.3435165882110596
kmeans,user-knowledge.csv,5,0.19610692896907445,0.6253101736972704,1.5010175704956055
kmeans,user-knowledge.csv,5,0.20255693147944445,0.6153846153846154,6.503235816955566
kmeans,processed-heart.csv,5,0.2998731950793004,0.5412541254125414,6.0099194049835205
kmeans,processed-heart.csv,5,0.30048218271441124,0.5412541254125413,5.988814115524292
kmeans,processed-heart.csv,5,0.3004036381177923,0.5412541254125413,3.293635845184326
kmeans,processed-heart.csv,5,0.29655886582347557,0.5412541254125413,5.720926284790039
kmeans,processed-heart.csv,5,0.29770936457721014,0.5412541254125413,7.2400312423706055
kmeans,processed-heart.csv,5,0.2949529142667622,0.5412541254125411,3.2569453716278076
kmeans,processed-heart.csv,5,0.3010332292148502,0.5412541254125413,3.752516984939575
kmeans,processed-heart.csv,5,0.2797469558618163,0.5412541254125413,5.010911464691162
kmeans,processed-heart.csv,5,0.30821702276797575,0.5412541254125413,2.580451011657715
kmeans,processed-heart.csv,5,0.3045971767275814,0.5412541254125413,4.02893328666687
kmeans,processed_breast_cancer.csv,2,0.2446996632140803,0.7075812274368231,1.6754329204559326
kmeans,processed_breast_cancer.csv,2,0.34108935346869246,0.7328519855595668,0.5350115299224854
kmeans,processed_breast_cancer.csv,2,0.2924171746092349,0.7075812274368232,1.3706679344177246
kmeans,processed_breast_cancer.csv,2,0.14972321784032186,0.7075812274368232,0.4048905372619629
kmeans,processed_breast_cancer.csv,2,0.14972321784032186,0.7075812274368232,0.5048620700836182
kmeans,processed_breast_cancer.csv,2,0.2446996632140803,0.7075812274368231,1.117004632949829
kmeans,processed_breast_cancer.csv,2,0.3410893534686926,0.7328519855595668,0.5505359172821045
kmeans,processed_breast_cancer.csv,2,0.24252763798895927,0.7075812274368231,1.080329179763794
kmeans,processed_breast_cancer.csv,2,0.2446996632140803,0.7075812274368231,1.1752309799194336
kmeans,processed_breast_cancer.csv,2,0.24252763798895927,0.7075812274368231,1.1835718154907227
ahc,glass.csv,7,0.0895887244484723,0.6728971962616821,0.08199763298034668
ahc,glass.csv,7,0.0895887244484723,0.6728971962616821,0.08855748176574707
ahc,glass.csv,7,0.0895887244484723,0.6728971962616821,0.07700848579406738
ahc,glass.csv,7,0.0895887244484723,0.6728971962616821,0.08650064468383789
ahc,glass.csv,7,0.0895887244484723,0.6728971962616821,0.09113097190856934
ahc,glass.csv,7,0.0895887244484723,0.6728971962616821,0.07796168327331543
ahc,glass.csv,7,0.0895887244484723,0.6728971962616821,0.07759451866149902
ahc,glass.csv,7,0.0895887244484723,0.6728971962616821,0.08246850967407227
ahc,glass.csv,7,0.0895887244484723,0.6728971962616821,0.07600903511047363
ahc,glass.csv,7,0.0895887244484723,0.6728971962616821,0.08309006690979004
ahc,user-knowledge.csv,5,0.034766811708455705,0.3300248138957817,0.5175328254699707
ahc,user-knowledge.csv,5,0.034766811708455705,0.3300248138957817,0.5339021682739258
ahc,user-knowledge.csv,5,0.034766811708455705,0.3300248138957817,0.5404891967773438
ahc,user-knowledge.csv,5,0.034766811708455705,0.3300248138957817,0.5100312232971191
ahc,user-knowledge.csv,5,0.034766811708455705,0.3300248138957817,0.5039553642272949
ahc,user-knowledge.csv,5,0.034766811708455705,0.3300248138957817,0.5394942760467529
ahc,user-knowledge.csv,5,0.034766811708455705,0.3300248138957817,0.5444042682647705
ahc,user-knowledge.csv,5,0.034766811708455705,0.3300248138957817,0.5993807315826416
ahc,user-knowledge.csv,5,0.034766811708455705,0.3300248138957817,0.544227123260498
ahc,user-knowledge.csv,5,0.034766811708455705,0.3300248138957817,0.5207791328430176
ahc,processed-heart.csv,5,0.036648362380314894,0.5412541254125414,0.26025891304016113
ahc,processed-heart.csv,5,0.036648362380314894,0.5412541254125414,0.22756147384643555
ahc,processed-heart.csv,5,0.036648362380314894,0.5412541254125414,0.271176815032959
ahc,processed-heart.csv,5,0.036648362380314894,0.5412541254125414,0.254544734954834
ahc,processed-heart.csv,5,0.036648362380314894,0.5412541254125414,0.2670626640319824
ahc,processed-heart.csv,5,0.036648362380314894,0.5412541254125414,0.23787569999694824
ahc,processed-heart.csv,5,0.036648362380314894,0.5412541254125414,0.22997784614562988
ahc,processed-heart.csv,5,0.036648362380314894,0.5412541254125414,0.21802020072937012
ahc,processed-heart.csv,5,0.036648362380314894,0.5412541254125414,0.2194833755493164
ahc,processed-heart.csv,5,0.036648362380314894,0.5412541254125414,0.22686529159545898
ahc,processed_breast_cancer.csv,2,0.4123973013384094,0.7111913357400723,0.17759323120117188
ahc,processed_breast_cancer.csv,2,0.4123973013384094,0.7111913357400723,0.18302512168884277
ahc,processed_breast_cancer.csv,2,0.4123973013384094,0.7111913357400723,0.1774897575378418
ahc,processed_breast_cancer.csv,2,0.4123973013384094,0.7111913357400723,0.17095160484313965
ahc,processed_breast_cancer.csv,2,0.4123973013384094,0.7111913357400723,0.18310761451721191
ahc,processed_breast_cancer.csv,2,0.4123973013384094,0.7111913357400723,0.17598223686218262
ahc,processed_breast_cancer.csv,2,0.4123973013384094,0.7111913357400723,0.17747211456298828
ahc,processed_breast_cancer.csv,2,0.4123973013384094,0.7111913357400723,0.1853935718536377
ahc,processed_breast_cancer.csv,2,0.4123973013384094,0.7111913357400723,0.18318581581115723
ahc,processed_breast_cancer.csv,2,0.4123973013384094,0.7111913357400723,0.23723769187927246
affinity,glass.csv,5,0.525221470632711,0.808411214953271,0.06618261337280273
affinity,user-knowledge.csv,29,0.24576159427643673,0.7493796526054592,0.029464244842529297
affinity,processed-heart.csv,19,0.2507366943352407,0.5445544554455446,0.016721487045288086
affinity,processed_breast_cancer.csv,20,0.22735387709077398,0.7472924187725631,0.030939340591430664
affinity,glass.csv,74,0.6031060540185675,0.9626168224299047,0.05006766319274902
affinity,user-knowledge.csv,29,0.24576159427643673,0.7493796526054592,0.027367115020751953
affinity,processed-heart.csv,19,0.2507366943352407,0.5445544554455446,0.0170135498046875
affinity,processed_breast_cancer.csv,20,0.22408184231305736,0.7472924187725632,0.030373096466064453
affinity,glass.csv,75,0.6252379245721662,0.8785046728971961,0.051171064376831055
affinity,user-knowledge.csv,29,0.24576159427643673,0.7493796526054592,0.030349254608154297
affinity,processed-heart.csv,19,0.2507366943352407,0.5445544554455446,0.02517557144165039
affinity,processed_breast_cancer.csv,20,0.228244617218029,0.7472924187725631,0.03271770477294922
affinity,glass.csv,52,0.5634468522034696,0.8831775700934579,0.05704855918884277
affinity,user-knowledge.csv,29,0.24576159427643673,0.7493796526054592,0.02672576904296875
affinity,processed-heart.csv,19,0.2507366943352407,0.5445544554455446,0.018002033233642578
affinity,processed_breast_cancer.csv,19,0.22932259765530363,0.7436823104693141,0.040000200271606445
affinity,glass.csv,4,0.5464062700026359,0.8177570093457942,0.0570526123046875
affinity,user-knowledge.csv,29,0.24576159427643673,0.7493796526054592,0.031121253967285156
affinity,processed-heart.csv,19,0.2507366943352407,0.5445544554455446,0.016095399856567383
affinity,processed_breast_cancer.csv,19,0.22747716422289596,0.7436823104693141,0.032679080963134766
affinity,glass.csv,8,0.5276086648304825,0.8738317757009344,0.05000782012939453
affinity,user-knowledge.csv,29,0.24576159427643673,0.7493796526054592,0.028072357177734375
affinity,processed-heart.csv,19,0.2507366943352407,0.5445544554455446,0.018024921417236328
affinity,processed_breast_cancer.csv,19,0.22722272657948095,0.7436823104693141,0.031041622161865234
affinity,glass.csv,63,0.5637560844495029,0.957943925233643,0.06451582908630371
affinity,user-knowledge.csv,29,0.24576159427643673,0.7493796526054592,0.02835845947265625
affinity,processed-heart.csv,19,0.2507366943352407,0.5445544554455446,0.01563882827758789
affinity,processed_breast_cancer.csv,20,0.22567021530354173,0.7472924187725632,0.027960777282714844
affinity,glass.csv,48,0.5556506776179403,0.8831775700934579,0.0511479377746582
affinity,user-knowledge.csv,29,0.24576159427643673,0.7493796526054592,0.026951313018798828
affinity,processed-heart.csv,19,0.2507366943352407,0.5445544554455446,0.0164182186126709
affinity,processed_breast_cancer.csv,20,0.22748115759747775,0.7472924187725632,0.02648758888244629
affinity,glass.csv,72,0.5587181745412292,0.9252336448598119,0.05208778381347656
affinity,user-knowledge.csv,29,0.24576159427643673,0.7493796526054592,0.036440372467041016
affinity,processed-heart.csv,19,0.2507366943352407,0.5445544554455446,0.018038034439086914
affinity,processed_breast_cancer.csv,20,0.22704051634862676,0.7472924187725631,0.03348827362060547
affinity,glass.csv,7,0.530445406452669,0.8691588785046728,0.06378912925720215
affinity,user-knowledge.csv,29,0.24576159427643673,0.7493796526054592,0.03753662109375
affinity,processed-heart.csv,19,0.2507366943352407,0.5445544554455446,0.017464399337768555
affinity,processed_breast_cancer.csv,20,0.22511239851806533,0.7472924187725632,0.027610301971435547
